"","dynamicColors","mergedColors"
"EFCAB8","grey","grey"
"GTPBP6","yellow","yellow"
"EFCAB12","brown","brown"
"A1BG","yellow","yellow"
"A2M","tan","tan"
"A2ML1","brown","brown"
"A4GALT","yellow","yellow"
"A4GNT","grey","grey"
"AACS","grey","grey"
"AADAC","salmon","salmon"
"AADAT","brown","brown"
"AAGAB","brown","brown"
"AAK1","turquoise","turquoise"
"AANAT","grey","grey"
"AARS","green","green"
"AARSD1","turquoise","turquoise"
"AASDH","turquoise","turquoise"
"AASDHPPT","yellow","yellow"
"AASS","green","green"
"AATK","yellow","yellow"
"ABAT","brown","brown"
"ABCA10","greenyellow","greenyellow"
"ABCA1","turquoise","turquoise"
"ABCA12","grey","grey"
"ABCA13","pink","pink"
"ABCA2","purple","purple"
"ABCA3","brown","brown"
"ABCA4","grey","grey"
"ABCA5","grey","grey"
"ABCA6","tan","tan"
"ABCA7","yellow","yellow"
"ABCA8","greenyellow","greenyellow"
"ABCA9","tan","tan"
"ABCB10","turquoise","turquoise"
"ABCB11","grey","grey"
"ABCB1","greenyellow","greenyellow"
"ABCB4","tan","tan"
"ABCB5","greenyellow","greenyellow"
"ABCB6","blue","blue"
"ABCB8","yellow","yellow"
"ABCB9","grey","grey"
"ABCC10","blue","blue"
"ABCC11","brown","brown"
"ABCC12","brown","brown"
"ABCC1","grey","grey"
"ABCC2","grey","grey"
"ABCC3","black","black"
"ABCC4","pink","pink"
"ABCC5","grey","grey"
"ABCC6","green","green"
"ABCC8","brown","brown"
"ABCC9","tan","tan"
"ABCD1","blue","blue"
"ABCD2","red","magenta"
"ABCD3","blue","blue"
"ABCD4","green","green"
"ABCG1","brown","brown"
"ABCG2","greenyellow","greenyellow"
"ABCG4","grey","grey"
"ABCG5","grey","grey"
"ABHD11","turquoise","turquoise"
"ABHD12","turquoise","turquoise"
"ABHD12B","brown","brown"
"ABHD14A","turquoise","turquoise"
"ABHD14B","purple","purple"
"ABHD15","blue","blue"
"ABHD1","purple","purple"
"ABHD2","blue","blue"
"ABHD3","grey","grey"
"ABHD4","black","black"
"ABHD6","grey","grey"
"ABHD8","yellow","yellow"
"ABI3","magenta","magenta"
"ABI3BP","greenyellow","greenyellow"
"ABL2","pink","pink"
"ABLIM1","turquoise","turquoise"
"ABLIM2","grey","grey"
"ABLIM3","green","green"
"ABO","tan","tan"
"ABR","grey","grey"
"ABRA","grey","grey"
"ABTB1","yellow","yellow"
"ABTB2","brown","brown"
"ACAA1","yellow","yellow"
"ACAA2","brown","brown"
"ACACA","turquoise","turquoise"
"ACACB","salmon","salmon"
"ACAD11","grey","grey"
"ACAD8","green","green"
"ACADL","salmon","salmon"
"ACADM","turquoise","turquoise"
"ACADS","yellow","yellow"
"ACADSB","brown","brown"
"ACADVL","yellow","yellow"
"ACAN","grey","grey"
"ACAP1","red","magenta"
"ACAP2","turquoise","turquoise"
"ACAP3","yellow","yellow"
"ACAT1","grey","grey"
"ACAT2","green","green"
"ACBD3","turquoise","turquoise"
"ACBD4","purple","purple"
"ACBD5","turquoise","turquoise"
"ACBD6","turquoise","turquoise"
"ACBD7","green","green"
"ACCS","yellow","yellow"
"ACD","turquoise","turquoise"
"ACE","grey","grey"
"ACE2","brown","brown"
"ACER1","grey","grey"
"ACER2","blue","blue"
"ACER3","yellow","yellow"
"ACHE","red","magenta"
"ACLY","turquoise","turquoise"
"ACMSD","brown","brown"
"ACO1","tan","tan"
"ACO2","grey","grey"
"ACOT11","green","green"
"ACOT13","tan","tan"
"ACOT1","brown","brown"
"ACOT2","brown","brown"
"ACOT4","brown","brown"
"ACOT6","brown","brown"
"ACOT7","green","green"
"ACOT8","turquoise","turquoise"
"ACOT9","magenta","magenta"
"ACOX1","turquoise","turquoise"
"ACOX2","brown","brown"
"ACOX3","green","green"
"ACOXL","grey","grey"
"ACP2","magenta","magenta"
"ACP5","magenta","magenta"
"ACP6","green","green"
"ACPP","grey","grey"
"ACR","pink","pink"
"ACRBP","magenta","magenta"
"ACRV1","green","green"
"ACSBG1","grey","grey"
"ACSBG2","grey","grey"
"ACSF2","green","green"
"ACSF3","yellow","yellow"
"ACSL1","magenta","magenta"
"ACSL3","turquoise","turquoise"
"ACSL4","pink","pink"
"ACSL5","red","magenta"
"ACSL6","red","magenta"
"ACSM1","green","green"
"ACSM3","grey","grey"
"ACSM5","salmon","salmon"
"ACSS1","grey","grey"
"ACSS2","grey","grey"
"ACSS3","blue","blue"
"ACTA1","grey","grey"
"ACTA2","black","black"
"ACTB","blue","blue"
"ACTBL2","pink","pink"
"ACTC1","grey","grey"
"ACTG2","pink","pink"
"ACTL6A","green","green"
"ACTL8","green","green"
"ACTN1","black","black"
"ACTN2","grey","grey"
"ACTN3","grey","grey"
"ACTR3","purple","purple"
"ACTR3B","brown","brown"
"ACTR3C","grey","grey"
"ACVR1","black","black"
"ACVR1B","brown","brown"
"ACVR1C","salmon","salmon"
"ACVR2A","tan","tan"
"ACVR2B","turquoise","turquoise"
"ACVRL1","greenyellow","greenyellow"
"ACY1","purple","purple"
"ACY3","red","magenta"
"ACYP1","turquoise","turquoise"
"ACYP2","turquoise","turquoise"
"ADA","red","magenta"
"ADAD2","yellow","yellow"
"ADAL","brown","brown"
"ADAM10","turquoise","turquoise"
"ADAM11","yellow","yellow"
"ADAM12","black","black"
"ADAM15","blue","blue"
"ADAM17","turquoise","turquoise"
"ADAM19","magenta","magenta"
"ADAM20","grey","grey"
"ADAM21","grey","grey"
"ADAM22","turquoise","turquoise"
"ADAM23","black","black"
"ADAM28","magenta","magenta"
"ADAM29","grey","grey"
"ADAM32","grey","grey"
"ADAM33","greenyellow","greenyellow"
"ADAM8","magenta","magenta"
"ADAM9","turquoise","turquoise"
"ADAMDEC1","red","magenta"
"ADAMTS10","black","black"
"ADAMTS12","black","black"
"ADAMTS13","purple","purple"
"ADAMTS14","black","black"
"ADAMTS15","brown","brown"
"ADAMTS16","black","black"
"ADAMTS17","black","black"
"ADAMTS18","tan","tan"
"ADAMTS19","grey","grey"
"ADAMTS1","greenyellow","greenyellow"
"ADAMTS2","black","black"
"ADAMTS3","pink","pink"
"ADAMTS4","black","black"
"ADAMTS5","tan","tan"
"ADAMTS6","black","black"
"ADAMTS7","black","black"
"ADAMTS8","greenyellow","greenyellow"
"ADAMTS9","tan","tan"
"ADAMTSL1","tan","tan"
"ADAMTSL2","black","black"
"ADAMTSL3","turquoise","turquoise"
"ADAMTSL4","magenta","magenta"
"ADAMTSL5","brown","brown"
"ADAP1","purple","purple"
"ADAP2","magenta","magenta"
"ADAR","turquoise","turquoise"
"ADARB1","pink","pink"
"ADARB2","grey","grey"
"ADAT1","turquoise","turquoise"
"ADAT2","brown","brown"
"ADAT3","yellow","yellow"
"ADCK1","turquoise","turquoise"
"ADCK5","yellow","yellow"
"ADCY10","grey","grey"
"ADCY1","brown","brown"
"ADCY2","black","black"
"ADCY3","magenta","magenta"
"ADCY4","greenyellow","greenyellow"
"ADCY5","greenyellow","greenyellow"
"ADCY6","brown","brown"
"ADCY7","magenta","magenta"
"ADCY9","brown","brown"
"ADCYAP1","grey","grey"
"ADCYAP1R1","tan","tan"
"ADD2","pink","pink"
"ADD3","pink","pink"
"ADH1A","salmon","salmon"
"ADH1B","salmon","salmon"
"ADH1C","salmon","salmon"
"ADH4","salmon","salmon"
"ADH6","grey","grey"
"ADHFE1","green","green"
"ADI1","blue","blue"
"ADIPOQ","salmon","salmon"
"ADIPOR1","blue","blue"
"ADIPOR2","grey","grey"
"ADK","grey","grey"
"ADM","blue","blue"
"ADM2","blue","blue"
"ADNP2","turquoise","turquoise"
"ADNP","turquoise","turquoise"
"ADORA1","grey","grey"
"ADORA2A","red","magenta"
"ADORA2B","pink","pink"
"ADORA3","magenta","magenta"
"ADPRH","magenta","magenta"
"ADPRHL1","grey","grey"
"ADPRHL2","blue","blue"
"ADRA1A","salmon","salmon"
"ADRA1B","grey","grey"
"ADRA1D","greenyellow","greenyellow"
"ADRA2A","tan","tan"
"ADRA2B","blue","blue"
"ADRA2C","yellow","yellow"
"ADRB1","salmon","salmon"
"ADRB2","magenta","magenta"
"ADRB3","salmon","salmon"
"ADRM1","yellow","yellow"
"ADSS","yellow","yellow"
"ADSSL1","purple","purple"
"AEBP1","black","black"
"AEN","blue","blue"
"AFAP1","tan","tan"
"AFAP1L1","greenyellow","greenyellow"
"AFAP1L2","tan","tan"
"AFF1","blue","blue"
"AFF2","tan","tan"
"AFF3","brown","brown"
"AFF4","blue","blue"
"AFMID","green","green"
"AFP","grey","grey"
"C11orf96","greenyellow","greenyellow"
"AGA","grey","grey"
"AGAP1","turquoise","turquoise"
"AGAP2","red","magenta"
"AGAP3","yellow","yellow"
"AGAP4","yellow","yellow"
"AGAP5","blue","blue"
"AGAP6","yellow","yellow"
"AGBL2","brown","brown"
"AGBL3","grey","grey"
"AGBL4","brown","brown"
"AGBL5","black","black"
"AGER","yellow","yellow"
"AGFG2","purple","purple"
"AGL","turquoise","turquoise"
"AGMAT","red","magenta"
"AGPAT2","yellow","yellow"
"AGPAT4","pink","pink"
"AGPAT5","turquoise","turquoise"
"AGPS","turquoise","turquoise"
"AGR2","brown","brown"
"AGR3","brown","brown"
"AGRN","yellow","yellow"
"AGRP","grey","grey"
"AGT","grey","grey"
"AGTPBP1","purple","purple"
"AGTR1","brown","brown"
"AGTRAP","turquoise","turquoise"
"AHCTF1","yellow","yellow"
"AHCY","green","green"
"AHCYL1","blue","blue"
"AHCYL2","turquoise","turquoise"
"AHDC1","yellow","yellow"
"AHI1","turquoise","turquoise"
"AHNAK2","black","black"
"AHNAK","blue","blue"
"AHR","tan","tan"
"AHRR","grey","grey"
"AHSA1","blue","blue"
"AICDA","red","magenta"
"AIF1","magenta","magenta"
"AIF1L","brown","brown"
"AIFM1","tan","tan"
"AIFM2","turquoise","turquoise"
"AIFM3","yellow","yellow"
"AIG1","red","magenta"
"AIM2","red","magenta"
"AIP","yellow","yellow"
"AJAP1","greenyellow","greenyellow"
"AK1","turquoise","turquoise"
"AK3","grey","grey"
"AK5","green","green"
"AK7","brown","brown"
"AKAP10","turquoise","turquoise"
"AKAP11","turquoise","turquoise"
"AKAP12","tan","tan"
"AKAP13","turquoise","turquoise"
"AKAP1","grey","grey"
"AKAP3","pink","pink"
"AKAP5","blue","blue"
"AKAP6","turquoise","turquoise"
"AKAP7","red","magenta"
"AKAP8L","yellow","yellow"
"AKAP9","turquoise","turquoise"
"AKNA","red","magenta"
"AKNAD1","grey","grey"
"AKR1A1","turquoise","turquoise"
"AKR1B10","grey","grey"
"AKR1B1","magenta","magenta"
"AKR1B15","brown","brown"
"AKR1C1","salmon","salmon"
"AKR1C2","salmon","salmon"
"AKR1C3","salmon","salmon"
"AKR1D1","grey","grey"
"AKR1E2","brown","brown"
"AKR7A2","purple","purple"
"AKR7A3","brown","brown"
"AKT1","yellow","yellow"
"AKT3","tan","tan"
"AKTIP","grey","grey"
"ALAD","green","green"
"ALB","grey","grey"
"ALCAM","brown","brown"
"ALDH16A1","yellow","yellow"
"ALDH1A1","red","magenta"
"ALDH1A2","greenyellow","greenyellow"
"ALDH1A3","pink","pink"
"ALDH1B1","black","black"
"ALDH1L1","salmon","salmon"
"ALDH1L2","black","black"
"ALDH2","red","magenta"
"ALDH3A1","pink","pink"
"ALDH3A2","grey","grey"
"ALDH3B1","magenta","magenta"
"ALDH3B2","brown","brown"
"ALDH4A1","grey","grey"
"ALDH5A1","grey","grey"
"ALDH6A1","blue","blue"
"ALDH7A1","grey","grey"
"ALDH8A1","grey","grey"
"ALDH9A1","grey","grey"
"ALDOA","purple","purple"
"ALDOB","grey","grey"
"ALDOC","grey","grey"
"ALG10","turquoise","turquoise"
"ALG10B","blue","blue"
"ALG11","grey","grey"
"ALG12","yellow","yellow"
"ALG14","turquoise","turquoise"
"ALG1","purple","purple"
"ALG1L","grey","grey"
"ALG3","blue","blue"
"ALG5","turquoise","turquoise"
"ALG6","green","green"
"ALG8","grey","grey"
"ALK","pink","pink"
"ALKBH2","blue","blue"
"ALKBH3","grey","grey"
"ALKBH4","yellow","yellow"
"ALKBH6","yellow","yellow"
"ALKBH7","yellow","yellow"
"ALKBH8","blue","blue"
"ALMS1","turquoise","turquoise"
"ALOX12","grey","grey"
"ALOX12B","grey","grey"
"ALOX15","grey","grey"
"ALOX15B","grey","grey"
"ALOX5","magenta","magenta"
"ALOX5AP","magenta","magenta"
"ALOXE3","grey","grey"
"ALPK1","red","magenta"
"ALPK2","black","black"
"ALPK3","tan","tan"
"ALPL","red","magenta"
"ALS2CL","magenta","magenta"
"ALX1","brown","brown"
"ALX3","pink","pink"
"ALX4","tan","tan"
"AMACR","brown","brown"
"AMBP","brown","brown"
"AMD1","green","green"
"AMDHD1","brown","brown"
"AMDHD2","purple","purple"
"AMFR","brown","brown"
"AMH","yellow","yellow"
"AMHR2","grey","grey"
"AMIGO1","turquoise","turquoise"
"AMIGO2","black","black"
"AMIGO3","yellow","yellow"
"AMMECR1","yellow","yellow"
"AMN1","blue","blue"
"AMN","blue","blue"
"AMOT","turquoise","turquoise"
"AMOTL1","pink","pink"
"AMOTL2","black","black"
"AMPD1","red","magenta"
"AMPD2","blue","blue"
"AMPD3","magenta","magenta"
"AMPH","black","black"
"AMT","yellow","yellow"
"AMY1A","brown","brown"
"AMY2A","grey","grey"
"AMY2B","purple","purple"
"AMZ1","brown","brown"
"AMZ2","green","green"
"ANAPC11","yellow","yellow"
"ANAPC1","turquoise","turquoise"
"ANAPC2","purple","purple"
"ANG","green","green"
"ANGEL1","turquoise","turquoise"
"ANGEL2","blue","blue"
"ANGPT1","pink","pink"
"ANGPT2","black","black"
"ANGPT4","greenyellow","greenyellow"
"ANGPTL1","tan","tan"
"ANGPTL2","black","black"
"ANGPTL3","grey","grey"
"ANGPTL4","salmon","salmon"
"ANGPTL5","salmon","salmon"
"ANGPTL6","magenta","magenta"
"ANGPTL7","greenyellow","greenyellow"
"ANK1","grey","grey"
"ANK2","tan","tan"
"ANK3","turquoise","turquoise"
"ANKAR","blue","blue"
"ANKDD1A","red","magenta"
"ANKFN1","grey","grey"
"ANKFY1","turquoise","turquoise"
"ANKH","black","black"
"ANKHD1","blue","blue"
"ANKHD1-EIF4EBP3","blue","blue"
"ANKIB1","turquoise","turquoise"
"ANKK1","green","green"
"ANKLE1","brown","brown"
"ANKMY1","purple","purple"
"ANKMY2","green","green"
"ANKRA2","brown","brown"
"ANKRD10","grey","grey"
"ANKRD11","brown","brown"
"ANKRD12","turquoise","turquoise"
"ANKRD1","pink","pink"
"ANKRD13B","blue","blue"
"ANKRD13D","yellow","yellow"
"ANKRD16","turquoise","turquoise"
"ANKRD17","turquoise","turquoise"
"ANKRD20A3","grey","grey"
"ANKRD20A4","grey","grey"
"ANKRD22","red","magenta"
"ANKRD2","yellow","yellow"
"ANKRD23","yellow","yellow"
"ANKRD24","green","green"
"ANKRD26","turquoise","turquoise"
"ANKRD27","green","green"
"ANKRD28","turquoise","turquoise"
"ANKRD29","greenyellow","greenyellow"
"ANKRD30A","brown","brown"
"ANKRD30B","brown","brown"
"ANKRD31","blue","blue"
"ANKRD34A","grey","grey"
"ANKRD34B","green","green"
"ANKRD34C","grey","grey"
"ANKRD35","greenyellow","greenyellow"
"ANKRD36","turquoise","turquoise"
"ANKRD36B","turquoise","turquoise"
"ANKRD37","grey","grey"
"ANKRD39","turquoise","turquoise"
"ANKRD40","turquoise","turquoise"
"ANKRD42","brown","brown"
"ANKRD44","magenta","magenta"
"ANKRD45","pink","pink"
"ANKRD46","cyan","cyan"
"ANKRD49","turquoise","turquoise"
"ANKRD50","turquoise","turquoise"
"ANKRD52","turquoise","turquoise"
"ANKRD53","salmon","salmon"
"ANKRD54","turquoise","turquoise"
"ANKRD55","red","magenta"
"ANKRD6","black","black"
"ANKRD7","brown","brown"
"ANKRD9","yellow","yellow"
"ANKS1B","blue","blue"
"ANKS3","purple","purple"
"ANKS6","pink","pink"
"ANKZF1","yellow","yellow"
"ANLN","green","green"
"ANO1","tan","tan"
"ANO2","grey","grey"
"ANO3","grey","grey"
"ANO4","pink","pink"
"ANO5","grey","grey"
"ANO6","turquoise","turquoise"
"ANO7","grey","grey"
"ANO8","yellow","yellow"
"ANO9","yellow","yellow"
"ANP32B","blue","blue"
"ANP32E","green","green"
"ANPEP","grey","grey"
"ANTXR1","black","black"
"ANTXR2","tan","tan"
"ANXA1","pink","pink"
"ANXA13","black","black"
"ANXA2","blue","blue"
"ANXA3","pink","pink"
"ANXA5","black","black"
"ANXA6","green","green"
"ANXA8","pink","pink"
"ANXA9","brown","brown"
"AOAH","magenta","magenta"
"AOC2","salmon","salmon"
"AOC3","greenyellow","greenyellow"
"AOX1","tan","tan"
"AP1AR","blue","blue"
"AP1B1","magenta","magenta"
"AP1G1","turquoise","turquoise"
"AP1G2","purple","purple"
"AP1M2","magenta","magenta"
"AP1S1","yellow","yellow"
"AP1S2","magenta","magenta"
"AP1S3","grey","grey"
"AP2B1","blue","blue"
"AP2S1","turquoise","turquoise"
"AP3B2","grey","grey"
"AP3M2","grey","grey"
"AP3S1","grey","grey"
"AP4E1","turquoise","turquoise"
"AP4M1","yellow","yellow"
"AP4S1","grey","grey"
"APAF1","turquoise","turquoise"
"APBA1","pink","pink"
"APBA2","pink","pink"
"APBA3","yellow","yellow"
"APBB1","green","green"
"APBB1IP","magenta","magenta"
"APBB2","brown","brown"
"APBB3","purple","purple"
"APC2","grey","grey"
"APC","turquoise","turquoise"
"APCDD1","black","black"
"APCDD1L","pink","pink"
"APEH","purple","purple"
"APH1B","brown","brown"
"APLF","pink","pink"
"APLN","red","magenta"
"APLNR","greenyellow","greenyellow"
"APLP1","grey","grey"
"APLP2","grey","grey"
"APOA1","yellow","yellow"
"APOB","salmon","salmon"
"APOBEC2","grey","grey"
"APOBEC3A","lightcyan","lightcyan"
"APOBEC3B","green","green"
"APOBEC3C","red","magenta"
"APOBEC3D","red","magenta"
"APOBEC3F","red","magenta"
"APOBEC3G","red","magenta"
"APOBEC3H","red","magenta"
"APOC1","magenta","magenta"
"APOC2","magenta","magenta"
"APOC4","magenta","magenta"
"APOD","greenyellow","greenyellow"
"APOE","magenta","magenta"
"APOF","brown","brown"
"APOL1","red","magenta"
"APOL2","red","magenta"
"APOL3","red","magenta"
"APOL4","red","magenta"
"APOL6","red","magenta"
"APOLD1","greenyellow","greenyellow"
"APOM","cyan","cyan"
"APOO","tan","tan"
"APOOL","turquoise","turquoise"
"APP","pink","pink"
"APPBP2","turquoise","turquoise"
"APPL1","turquoise","turquoise"
"APPL2","blue","blue"
"APRT","turquoise","turquoise"
"AQP11","brown","brown"
"AQP1","greenyellow","greenyellow"
"AQP2","grey","grey"
"AQP3","grey","grey"
"AQP4","pink","pink"
"AQP5","pink","pink"
"AQP6","grey","grey"
"AQP7","salmon","salmon"
"AQP8","purple","purple"
"AQP9","magenta","magenta"
"AQR","turquoise","turquoise"
"AR","brown","brown"
"ARAP1","magenta","magenta"
"ARAP2","red","magenta"
"ARAP3","greenyellow","greenyellow"
"ARC","grey","grey"
"AREG","grey","grey"
"ARF1","turquoise","turquoise"
"ARF5","turquoise","turquoise"
"ARFGAP1","yellow","yellow"
"ARFGAP3","purple","purple"
"ARFGEF1","cyan","cyan"
"ARFGEF2","turquoise","turquoise"
"ARFIP2","brown","brown"
"ARFRP1","yellow","yellow"
"ARG2","purple","purple"
"ARGLU1","grey","grey"
"ARHGAP10","red","magenta"
"ARHGAP11A","green","green"
"ARHGAP11B","green","green"
"ARHGAP12","turquoise","turquoise"
"ARHGAP15","red","magenta"
"ARHGAP18","turquoise","turquoise"
"ARHGAP19","turquoise","turquoise"
"ARHGAP20","tan","tan"
"ARHGAP21","turquoise","turquoise"
"ARHGAP22","magenta","magenta"
"ARHGAP23","tan","tan"
"ARHGAP24","tan","tan"
"ARHGAP25","red","magenta"
"ARHGAP26","red","magenta"
"ARHGAP27","red","magenta"
"ARHGAP28","black","black"
"ARHGAP29","turquoise","turquoise"
"ARHGAP30","magenta","magenta"
"ARHGAP31","tan","tan"
"ARHGAP32","blue","blue"
"ARHGAP33","yellow","yellow"
"ARHGAP36","grey","grey"
"ARHGAP39","yellow","yellow"
"ARHGAP42","turquoise","turquoise"
"ARHGAP4","red","magenta"
"ARHGAP5","turquoise","turquoise"
"ARHGAP6","tan","tan"
"ARHGAP8","yellow","yellow"
"ARHGAP9","magenta","magenta"
"ARHGDIA","yellow","yellow"
"ARHGDIB","magenta","magenta"
"ARHGDIG","grey","grey"
"ARHGEF10","tan","tan"
"ARHGEF10L","yellow","yellow"
"ARHGEF12","turquoise","turquoise"
"ARHGEF15","greenyellow","greenyellow"
"ARHGEF16","yellow","yellow"
"ARHGEF17","black","black"
"ARHGEF18","yellow","yellow"
"ARHGEF19","blue","blue"
"ARHGEF1","yellow","yellow"
"ARHGEF2","pink","pink"
"ARHGEF33","pink","pink"
"ARHGEF3","blue","blue"
"ARHGEF35","grey","grey"
"ARHGEF37","green","green"
"ARHGEF38","brown","brown"
"ARHGEF4","pink","pink"
"ARHGEF5","grey","grey"
"ARHGEF6","turquoise","turquoise"
"ARID1A","turquoise","turquoise"
"ARID2","blue","blue"
"ARID3A","grey","grey"
"ARID3B","red","magenta"
"ARID3C","grey","grey"
"ARID4A","turquoise","turquoise"
"ARID4B","turquoise","turquoise"
"ARID5A","red","magenta"
"ARID5B","pink","pink"
"ARL10","turquoise","turquoise"
"ARL11","magenta","magenta"
"ARL13A","brown","brown"
"ARL13B","turquoise","turquoise"
"ARL1","blue","blue"
"ARL14","grey","grey"
"ARL15","tan","tan"
"ARL16","yellow","yellow"
"ARL17A","blue","blue"
"ARL17B","grey","grey"
"ARL2","turquoise","turquoise"
"ARL3","brown","brown"
"ARL4A","greenyellow","greenyellow"
"ARL4C","pink","pink"
"ARL4D","yellow","yellow"
"ARL5B","turquoise","turquoise"
"ARL6","turquoise","turquoise"
"ARL6IP1","green","green"
"ARL6IP4","yellow","yellow"
"ARL6IP5","green","green"
"ARL6IP6","turquoise","turquoise"
"ARL8A","turquoise","turquoise"
"ARL9","brown","brown"
"ARMC1","cyan","cyan"
"ARMC2","turquoise","turquoise"
"ARMC3","brown","brown"
"ARMC4","brown","brown"
"ARMC5","purple","purple"
"ARMC6","yellow","yellow"
"ARMC7","yellow","yellow"
"ARMC9","brown","brown"
"ARMCX1","green","green"
"ARMCX2","green","green"
"ARMCX3","blue","blue"
"ARMCX6","blue","blue"
"ARNT2","blue","blue"
"ARNTL2","magenta","magenta"
"ARNTL","turquoise","turquoise"
"ARPC1B","magenta","magenta"
"ARPC5L","blue","blue"
"ARPP19","blue","blue"
"ARPP21","grey","grey"
"ARRB1","brown","brown"
"ARRB2","magenta","magenta"
"ARRDC1","purple","purple"
"ARRDC2","yellow","yellow"
"ARRDC3","pink","pink"
"ARRDC4","tan","tan"
"ARRDC5","red","magenta"
"ARSA","yellow","yellow"
"ARSB","black","black"
"ARSD","green","green"
"ARSE","black","black"
"ARSF","grey","grey"
"ARSG","brown","brown"
"ARSH","grey","grey"
"ARSI","black","black"
"ARSJ","black","black"
"ARSK","tan","tan"
"ART3","pink","pink"
"ART4","red","magenta"
"ART5","greenyellow","greenyellow"
"ARTN","grey","grey"
"ARV1","grey","grey"
"ARVCF","purple","purple"
"ARX","grey","grey"
"AS3MT","red","magenta"
"ASAH1","blue","blue"
"ASAH2","turquoise","turquoise"
"ASAH2B","turquoise","turquoise"
"ASAP1","turquoise","turquoise"
"ASAP2","turquoise","turquoise"
"ASAP3","grey","grey"
"ASB12","pink","pink"
"ASB13","brown","brown"
"ASB14","blue","blue"
"ASB1","grey","grey"
"ASB16","brown","brown"
"ASB2","red","magenta"
"ASB4","grey","grey"
"ASB9","grey","grey"
"ASCC3","turquoise","turquoise"
"ASCL1","grey","grey"
"ASCL2","turquoise","turquoise"
"ASCL4","grey","grey"
"ASF1A","purple","purple"
"ASF1B","green","green"
"ASGR1","magenta","magenta"
"ASGR2","magenta","magenta"
"ASH1L","turquoise","turquoise"
"ASH2L","grey","grey"
"ASIP","magenta","magenta"
"ASL","yellow","yellow"
"ASMT","grey","grey"
"ASMTL","purple","purple"
"ASNS","green","green"
"ASPA","greenyellow","greenyellow"
"ASPG","grey","grey"
"ASPH","turquoise","turquoise"
"ASPHD1","turquoise","turquoise"
"ASPHD2","magenta","magenta"
"ASPM","green","green"
"ASPN","black","black"
"ASPRV1","greenyellow","greenyellow"
"ASPSCR1","yellow","yellow"
"ASRGL1","grey","grey"
"ASS1","blue","blue"
"ASTL","grey","grey"
"ASTN1","tan","tan"
"ASTN2","brown","brown"
"ASXL2","turquoise","turquoise"
"ASXL3","tan","tan"
"ATAD2","green","green"
"ATAD2B","turquoise","turquoise"
"ATAD3A","yellow","yellow"
"ATAD3B","yellow","yellow"
"ATAD3C","grey","grey"
"ATAD5","green","green"
"ATE1","turquoise","turquoise"
"ATF2","turquoise","turquoise"
"ATF3","red","magenta"
"ATF4","blue","blue"
"ATF5","blue","blue"
"ATF6","turquoise","turquoise"
"ATF7IP2","grey","grey"
"ATF7IP","turquoise","turquoise"
"ATG10","grey","grey"
"ATG16L1","blue","blue"
"ATG16L2","purple","purple"
"ATG2A","yellow","yellow"
"ATG2B","turquoise","turquoise"
"ATG4B","yellow","yellow"
"ATG4D","yellow","yellow"
"ATG9B","tan","tan"
"ATL1","grey","grey"
"ATL2","purple","purple"
"ATL3","turquoise","turquoise"
"ATM","turquoise","turquoise"
"ATOH7","brown","brown"
"ATOH8","greenyellow","greenyellow"
"ATOX1","turquoise","turquoise"
"ATP10A","black","black"
"ATP10B","brown","brown"
"ATP10D","tan","tan"
"ATP11A","purple","purple"
"ATP11B","pink","pink"
"ATP11C","pink","pink"
"ATP12A","brown","brown"
"ATP13A2","yellow","yellow"
"ATP13A3","turquoise","turquoise"
"ATP13A4","grey","grey"
"ATP13A5","pink","pink"
"ATP1A1","grey","grey"
"ATP1A2","greenyellow","greenyellow"
"ATP1A3","grey","grey"
"ATP1A4","brown","brown"
"ATP1B1","grey","grey"
"ATP1B2","greenyellow","greenyellow"
"ATP1B3","brown","brown"
"ATP2A1","yellow","yellow"
"ATP2A3","grey","grey"
"ATP2B1","turquoise","turquoise"
"ATP2B2","pink","pink"
"ATP2B3","brown","brown"
"ATP2B4","turquoise","turquoise"
"ATP2C2","brown","brown"
"ATP6AP1","pink","pink"
"ATP6AP1L","brown","brown"
"ATP6V0A1","brown","brown"
"ATP6V0A4","brown","brown"
"ATP6V0B","turquoise","turquoise"
"ATP6V0C","purple","purple"
"ATP6V0D1","magenta","magenta"
"ATP6V0D2","black","black"
"ATP6V0E2","turquoise","turquoise"
"ATP6V1B1","grey","grey"
"ATP6V1B2","magenta","magenta"
"ATP6V1C1","cyan","cyan"
"ATP6V1C2","brown","brown"
"ATP6V1E2","blue","blue"
"ATP6V1F","turquoise","turquoise"
"ATP6V1G1","pink","pink"
"ATP6V1G2","brown","brown"
"ATP6V1H","cyan","cyan"
"ATP7A","blue","blue"
"ATP7B","brown","brown"
"ATP8A1","red","magenta"
"ATP8A2","grey","grey"
"ATP8B1","blue","blue"
"ATP8B2","tan","tan"
"ATP8B3","brown","brown"
"ATP8B4","magenta","magenta"
"ATP9A","turquoise","turquoise"
"ATP9B","blue","blue"
"ATPAF2","purple","purple"
"ATR","turquoise","turquoise"
"ATRIP","purple","purple"
"ATRN","turquoise","turquoise"
"ATRNL1","grey","grey"
"ATRX","turquoise","turquoise"
"ATXN10","grey","grey"
"ATXN1","tan","tan"
"ATXN1L","turquoise","turquoise"
"ATXN7","turquoise","turquoise"
"ATXN7L1","turquoise","turquoise"
"ATXN7L2","blue","blue"
"AUH","blue","blue"
"AUP1","turquoise","turquoise"
